Ticker,Country
AAPL,USA
ACB,USA
ADSK,USA
ADYEN,USA
AMZN,USA
ATHM,USA
ATUS,USA
AYR.A CN,USA
BABA,USA
BZUN,USA
CBLK,USA
CCI,USA
CCK,USA
CDNS,USA
CMCSA,USA
CRM,USA
CRWD,USA
CSCO,USA
DOCU,USA
EBAY,USA
EEM,USA
ESU9,USA
FB,USA
FDS,USA
FOXA,USA
FRPT,USA
FWONK,USA
GLIBA,USA
GOOGL,USA
GRNTECH,USA
GTII CN,USA
HAS,USA
HRL,USA
IBM,USA
INFY,USA
IQV,USA
JD,USA
ELIFE,USA
ELIFEC,USA
LYV,USA
MIRROR,USA
MJ,USA
MSG,USA
NCMI,USA
NFLX,USA
NOW,USA
OMC,USA
OOUT,USA
OPENDOOR,USA
ORCL,USA
PDD,USA
PINS,USA
PLAN,USA
PLNT,USA
PTC,USA
PUB FP,USA
QQQ,USA
REAL,USA
RLGY,USA
SAP,USA
SE,USA
SNAP,USA
SNE,USA
SPOT,USA
SPY,USA
T,USA
TCEHY,USA
TME,USA
TRI CN,USA
V,USA
VIAB,USA
VZ,USA
W,USA
WDAY,USA
WORK,USA
WTRH,USA
Z,USA
FB,USA
AMZN,USA
VIAC,USA
UBER,USA
NFLX,USA
CRM,USA
GOOGL,USA
PLAN,USA
ATVI,USA
CCO,USA
FWONK,USA
JD,USA
ATUS,USA
CRWD,USA
DT,USA
PELOTON,USA
HUBS,USA
RNG,USA
IQV,USA
FISV,USA
GLIBA,USA
TWLO,USA
CHTR,USA
SNAP,USA
BABA,USA
QCOM,USA
CCC,USA
FIVN,USA
ADYEN NA,USA
TME,USA
NUAN,USA
SFIX,USA
NCMI,USA
AMC,USA
DISCA,USA
MSGN,USA
ITV LN,USA
RLGY,USA
ROKU,USA
HTZ,USA
AMCX,USA
NLSN,USA
SYY,USA
MMM,USA
PDD,USA
LAMR,USA
ATD.B CN,USA
SKT,USA
CSCO,USA
RDFN,USA
MAC,USA
IPG,USA
MUSA,USA
ORCL,USA
OUT,USA
BF.B,USA
ZM,USA
ULTA,USA
SMH,USA
DOCU,USA
NTES,USA
PYPL,USA
ADBE,USA
ADP,USA
TEAM,USA
CHKP,USA
ACN,USA
UPS,USA
IBM,USA
CMCSA,USA
T,USA
ADSK,USA
WORK,USA
SPY200117P00317000,USA
OMC,USA
AAPL,USA
MSFT,USA
QQQ,USA
ESH0,USA
CHTR,USA
ATUS,USA
MSFT,USA
ATVI,USA
PELOTON,USA
NUAN,USA
BABA,USA
PTON,USA
GLIBA,USA
MU,USA
FB,USA
PLAN,USA
GOOGL,USA
CCC,USA
CRWD,USA
EQIX,USA
INTC,USA
ESTC,USA
SPOT,USA
JD,USA
FIVN,USA
9988 KY,USA
GPN,USA
DT,USA
NYT,USA
TMV GY,USA
EL,USA
TIF,USA
MIRROR,USA
TCPSXII,USA
TCPSXVI,USA
PALAJUL17,USA
CCO,USA
SIRI,USA
AMCX,USA
PLT,USA
TTD,USA
ARMK,USA
DISH,USA
AVYA,USA
NLSN,USA
WU,USA
OKTA,USA
CTL,USA
Z,USA
CRM,USA
MANH,USA
IPG,USA
TDOC,USA
ACN,USA
TWLO,USA
PAYX,USA
WDAY,USA
VZ,USA
LYFT,USA
LYV,USA
GSCBSF8X,USA
SMH,USA
RNG,USA
TEAM,USA
MSHOGRSW,USA
PYPL,USA
UBER,USA
CABO,USA
AMZN,USA
GRUB,USA
HUBS,USA
OMC,USA
SHOP,USA
ORCL,USA
T,USA
SAP,USA
NQM0,USA
IGV,USA
QQQ,USA
CHTR,USA
ESM0,USA
CHTR,USA
AMZN,USA
BABA,USA
EBAY,USA
NEXI IT,USA
DT,USA
NXPI,USA
NUAN,USA
MSFT,USA
PTON,USA
GOOGL,USA
WDAY,USA
ATVI,USA
ESTC,USA
FISV,USA
GLIBA,USA
FIS,USA
EXPE,USA
BKNG,USA
CCC,USA
SSNC,USA
MRVL,USA
DISH,USA
ATUS,USA
FB,USA
MTCH,USA
PLAN,USA
FTCH,USA
DIS,USA
9988 KY,USA
APT AU,USA
PRPL,USA
CONE,USA
CRNC,USA
MSXXOPN2,USA
UBER,USA
SNAP,USA
EBAY200821C00049000,USA
DISH NETWORK CL A ORD 2020-09-18 40.00 Call OTC,USA
KEYS,USA
PTON220121C00060000,USA
QRTEA,USA
DISH NETWORK CL A ORD 2020-08-21 40.00 Call OTC,USA
MSGN,USA
GCI,USA
TPCO,USA
MDP,USA
SBGI,USA
PLT,USA
MIDD,USA
GWRE,USA
IPG,USA
DISCA,USA
WSM,USA
LYV,USA
ZEN,USA
FVRR,USA
TWTR,USA
OMC,USA
CSCO,USA
CTL,USA
XRT,USA
AMCX,USA
FLT,USA
NTAP,USA
PLNT,USA
XLNX,USA
GPN,USA
TMUS,USA
MSHOGRSW,USA
GSXUSTAY,USA
GSCBSF8X,USA
QQQ200717P00233000,USA
SAP,USA
ADSK,USA
SPY200710P00303000,USA
ORCL,USA
MSESLUX,USA
ACN,USA
SMH,USA
ESU0,USA
QQQ,USA